code_air,nom_air,code_district
1,Atta,1
2,Bandam,1
3,Bankim rural,1
4,Bankim urbain,1
5,Nyamboya,1
6,Somie,1
7,Songkolong,1
8,Allat,2
9,Boumdo,2
10,Djem,2
11,Fada,2
12,Hore Taram,2
13,Mayo Darle CMA,2
14,Mayo Darle CSPC,2
15,Mayo Djinga,2
16,Mayo Kelele,2
17,Mbamti Katarko,2
18,Ndiwawa,2
19,Ribao,2
20,Sambo Labo,2
21,Taram Yabam,2
22,Tiket,2
23,Batoua-godole,3
24,Djohong,3
25,Kombo - Laka,3
26,Ngam,3
27,Ngaoui,3
28,Yamba,3
29,Yarmbang,3
30,Babongo,4
31,Badjer,4
32,Beka,4
33,Bindiba,4
34,Boula,4
35,Dir CMA,4
36,Gandinang,4
37,Gunbela,4
38,Kaka,4
39,Kalaldi,4
40,Lokoti,4
41,Mbarang,4
42,Meidougou,4
43,Meiganga prive,4
44,Meiganga public,4
45,Bagodo,5
46,Beka Gotto,5
47,Danfili,5
48,Ngaoundal Catholique,5
49,Ngaoundal CMA,5
50,Pangar,5
51,Beka-Hossere,6
52,Belel,6
53,Dang,6
54,Dibi,6
55,Likok,6
56,Martap,6
57,Mbang-Mboum,6
58,Mbe,6
59,Ngan-ha,6
60,Nyambaka,6
61,Sassa-Mbersi,6
62,Tourningal,6
63,Wack,6
64,Wassande,6
65,Bamyanga,7
66,Boumdjere,7
67,Ndelbe,7
68,Sabongari,7
69,Allat Mengack,8
70,Djombi,8
71,Mbakaou,8
72,Meidjamba,8
73,Minim,8
74,Ngaoubela,8
75,Tibati CMA,8
76,Tibati CSI,8
77,Tongo,8
78,Alme,9
79,Dodeo,9
80,Doualayel,9
81,Gadjiwan,9
82,Galim Tignere,9
83,Garbaya Yelwa,9
84,Kontcha,9
85,Libong,9
86,Mayo Baleo,9
87,Tchabal Mbabo,9
88,Tignere,9
89,Wogomdou,9
90,Abem,10
91,Akak,10
92,Akonolinga urbain,10
93,Djoudjoua,10
94,Edjom,10
95,Ekoudou,10
96,Emvane - So,10
97,Endom,10
98,Mengang,10
99,Mengueme-si,10
100,Yeme-yeme,10
101,Zalom,10
102,Elat minkom,11
103,Mimbang,11
104,Ngat,11
105,Nkolessong,11
106,Olanguina,11
107,Ayos,12
108,Efoufoup,12
109,Kobdombo,12
110,Mang,12
111,Mbaka,12
112,Mboke,12
113,Nganga,12
114,Nkoambang,12
115,Nyamvoudou,12
116,Salla,12
117,Yenassa,12
118,Assala,13
119,Bafia i,13
120,Bafia ii,13
121,Bafia rural,13
122,Balamba,13
123,Baliama,13
124,Bayomen,13
125,Bokito,13
126,Bongo,13
127,Deuk,13
128,Donenkeng,13
129,Gbwah,13
130,Goufan,13
131,Kiki,13
132,Mouko,13
133,Ombessa,13
134,Roum,13
135,Tsekane,13
136,Yangben,13
137,Akok-ndoe,14
138,Biscuiterie,14
139,Biyem - Assi 1,14
140,Biyem - Assi 2,14
141,Etoug - Ebe,14
142,Melen elig-effa,14
143,Mendong,14
144,Mvog betsi,14
145,Nkolbikok 1,14
146,Nkolbikok 2,14
147,Simbok,14
148,Briqueterie,15
149,Carriere,15
150,Cite verte,15
151,Ekoudou,15
152,Messa,15
153,Mokolo,15
154,Nkomkana,15
155,Tsinga,15
156,Tsinga oliga,15
157,Elig essono,16
158,Emana,16
159,Essos,16
160,Etoa - Meki,16
161,Mballa 2,16
162,Mballa 5,16
163,Mvog ada,16
164,Nfandena,16
165,Nkolmesseng,16
166,Nkolondom,16
167,Nlongkak,16
168,Tsinga village,16
169,Djounyat,17
170,Leka,17
171,Ngoksa,17
172,Nkolelouga,17
173,Afanoyoa,18
174,Ahala,18
175,Efoulan,18
176,Ngoa ekelle,18
177,Nsimeyong,18
178,Obili,18
179,Elig - Mfomo,19
180,Kokodo,19
181,Nkengue,19
182,Bidjocka,20
183,Bondjock,20
184,Eseka,20
185,Ilanga,20
186,Likongue,20
187,Makak,20
188,Messondo,20
189,Mom,20
190,Song bayang,20
191,Song-badjeck,20
192,Songbong,20
193,Afanloum,21
194,Edzendouan,21
195,Esse ville,21
196,Mvengessaboutou,21
197,Ngondimbele,21
198,Ngoungoumdu,21
199,Ongandi,21
200,Evodoula,22
201,Kalngaha,22
202,Nkolassa,22
203,Nloudou,22
204,Akoeman,23
205,Angonfeme,23
206,Assie,23
207,Ekoumeyek,23
208,Mbalmayo 1,23
209,Mbalmayo 2,23
210,Mbyo ngallan,23
211,Mengueme,23
212,Metet,23
213,Minlaba,23
214,Ngomedzap,23
215,Nkolmeyang,23
216,Nkolnyama,23
217,Nkolya,23
218,Olama,23
219,Onanambessa,23
220,Ossoessam,23
221,Sep,23
222,Zoatoupsi,23
223,Edoumdane,24
224,Lembe yezoum,24
225,Mbandjock,24
226,Mebolo,24
227,Mvebekon,24
228,Ndjore,24
229,Ndoumba,24
230,Nkoteng 1,24
231,Nkoteng 2,24
232,Nyassi,24
