code_district,nom_district,code_region
1,Bankim,1
2,Banyo,1
3,Djohong,1
4,Meiganga,1
5,Ngaoundal,1
6,Ngaoundere rural,1
7,Ngaoundere urbain,1
8,Tibati,1
9,Tignere,1
10,Akonolinga,2
11,Awae,2
12,Ayos,2
13,Bafia,2
14,Biyem-assi,2
15,Cite verte,2
16,Djoungolo,2
17,Ebebda,2
18,Efoulan,2
19,Elig-mfomo,2
20,Eseka,2
21,Esse,2
22,Evodoula,2
23,Mbalmayo,2
24,Mbandjock,2
25,Mbankomo,2
26,Mfou,2
27,Monatele,2
28,Nanga eboko,2
29,Ndikinimeki,2
30,Ngog mapubi,2
31,Ngoumou,2
32,Nkolbisson,2
33,Nkolndongo,2
34,Ntui,2
35,Obala,2
36,Okola,2
37,Saa,2
38,Soa,2
39,Yoko,2
40,Abong Mbang,3
41,Batouri,3
42,Bertoua,3
43,Betare Oya,3
44,Doume,3
45,Garoua Boulai,3
46,Kette,3
47,Lomie,3
48,Mbang,3
49,Messamena,3
50,Moloundou,3
51,Ndelele,3
52,Nguelemendouka,3
53,Yokadouma,3
54,Bogo,4
55,Bourha,4
56,Gazawa,4
57,Goulfey,4
58,Guere,4
59,Guidiguis,4
60,Hina,4
61,Kaele,4
62,Kar hay,4
63,Kolofata,4
64,Kousseri,4
65,Koza,4
66,Mada,4
67,Maga,4
68,Makary,4
69,Maroua 1,4
70,Maroua 2,4
71,Maroua 3,4
72,Meri,4
73,Mindif,4
74,Mogode,4
75,Mokolo,4
76,Mora,4
77,Moulvoudaye,4
78,Moutourwa,4
79,Pette,4
80,Roua,4
81,Tokombere,4
82,Vele,4
83,Yagoua,4
84,Abo,5
85,Bangue,5
86,Boko,5
87,Bonassama,5
88,Cite des palmiers,5
89,Deido,5
90,Dibombari,5
91,Edea,5
92,Japoma,5
93,Logbaba,5
94,Loum,5
95,Manjo,5
96,Manoka,5
97,Mbanga,5
98,Melong,5
99,Ndom,5
100,New-bell,5
101,Ngambe,5
102,Njombe penja,5
103,Nkondjock,5
104,Nkongsamba,5
105,Nylon,5
106,Pouma,5
107,Yabassi,5
108,Bibemi,6
109,Figuil,6
110,Garoua i,6
111,Garoua ii,6
112,Gaschiga,6
113,Golombe,6
114,Guider,6
115,Lagdo,6
116,Mayo oulo,6
117,Ngong,6
118,Pitoa,6
119,Poli,6
120,Rey bouba,6
121,Tchollire,6
122,Touboro,6
123,Ako,7
124,Bafut,7
125,Bali,7
126,Bamenda,7
127,Batibo,7
128,Benakuma,7
129,Fundong,7
130,Kumbo east,7
131,Kumbo west,7
132,Mbengwi,7
133,Ndop,7
134,Ndu,7
135,Njikwa,7
136,Nkambe,7
137,Nwa,7
138,Oku,7
139,Santa,7
140,Tubah,7
141,Wum,7
142,Bafang,8
143,Baham,8
144,Bamendjou,8
145,Bandja,8
146,Bandjoun,8
147,Bangangte,8
148,Bangourain,8
149,Batcham,8
150,Dschang,8
151,Foumban,8
152,Foumbot,8
153,Galim,8
154,Kekem,8
155,Kouoptamo,8
156,Malantouen,8
157,Massangam,8
158,Mbouda,8
159,Mifi,8
160,Penka Michel,8
161,Santchou,8
162,Akwaya,9
163,Bakassi,9
164,Bangem,9
165,Buea,9
166,Ekondo titi,9
167,Eyumojock,9
168,Fontem,9
169,Konye,9
170,Kumba,9
171,Limbe,9
172,Mamfe,9
173,Mbonge,9
174,Mundemba,9
175,Muyuka,9
176,Nguti,9
177,Tiko,9
178,Tombel,9
179,Wabane,9
180,Ambam,10
181,Djoum,10
182,Ebolowa,10
183,Kribi,10
184,Lolodorf,10
185,Meyomessala,10
186,Mvangan,10
187,Olamze,10
188,Sangmelima,10
189,Zoetele,10
