code_region,nom_region,abr_region,code_district,nom_district
1,Adamaoua,ADA,1,Bankim
1,Adamaoua,ADA,2,Banyo
1,Adamaoua,ADA,3,Djohong
1,Adamaoua,ADA,4,Meiganga
1,Adamaoua,ADA,5,Ngaoundal
1,Adamaoua,ADA,6,Ngaoundere rural
1,Adamaoua,ADA,7,Ngaoundere urbain
1,Adamaoua,ADA,8,Tibati
1,Adamaoua,ADA,9,Tignere
2,Centre,CEN,10,Akonolinga
2,Centre,CEN,11,Awae
2,Centre,CEN,12,Ayos
2,Centre,CEN,13,Bafia
2,Centre,CEN,14,Biyem-assi
2,Centre,CEN,15,Cite verte
2,Centre,CEN,16,Djoungolo
2,Centre,CEN,17,Ebebda
2,Centre,CEN,18,Efoulan
2,Centre,CEN,19,Elig-mfomo
2,Centre,CEN,20,Eseka
2,Centre,CEN,21,Esse
2,Centre,CEN,22,Evodoula
2,Centre,CEN,23,Mbalmayo
2,Centre,CEN,24,Mbandjock
2,Centre,CEN,25,Mbankomo
2,Centre,CEN,26,Mfou
2,Centre,CEN,27,Monatele
2,Centre,CEN,28,Nanga eboko
2,Centre,CEN,29,Ndikinimeki
2,Centre,CEN,30,Ngog mapubi
2,Centre,CEN,31,Ngoumou
2,Centre,CEN,32,Nkolbisson
2,Centre,CEN,33,Nkolndongo
2,Centre,CEN,34,Ntui
2,Centre,CEN,35,Obala
2,Centre,CEN,36,Okola
2,Centre,CEN,37,Saa
2,Centre,CEN,38,Soa
2,Centre,CEN,39,Yoko
3,Est,EST,40,Abong Mbang
3,Est,EST,41,Batouri
3,Est,EST,42,Bertoua
3,Est,EST,43,Betare Oya
3,Est,EST,44,Doume
3,Est,EST,45,Garoua Boulai
3,Est,EST,46,Kette
3,Est,EST,47,Lomie
3,Est,EST,48,Mbang
3,Est,EST,49,Messamena
3,Est,EST,50,Moloundou
3,Est,EST,51,Ndelele
3,Est,EST,52,Nguelemendouka
3,Est,EST,53,Yokadouma
4,Extreme Nord,EXT,54,Bogo
4,Extreme Nord,EXT,55,Bourha
4,Extreme Nord,EXT,56,Gazawa
4,Extreme Nord,EXT,57,Goulfey
4,Extreme Nord,EXT,58,Guere
4,Extreme Nord,EXT,59,Guidiguis
4,Extreme Nord,EXT,60,Hina
4,Extreme Nord,EXT,61,Kaele
4,Extreme Nord,EXT,62,Kar hay
4,Extreme Nord,EXT,63,Kolofata
4,Extreme Nord,EXT,64,Kousseri
4,Extreme Nord,EXT,65,Koza
4,Extreme Nord,EXT,66,Mada
4,Extreme Nord,EXT,67,Maga
4,Extreme Nord,EXT,68,Makary
4,Extreme Nord,EXT,69,Maroua 1
4,Extreme Nord,EXT,70,Maroua 2
4,Extreme Nord,EXT,71,Maroua 3
4,Extreme Nord,EXT,72,Meri
4,Extreme Nord,EXT,73,Mindif
4,Extreme Nord,EXT,74,Mogode
4,Extreme Nord,EXT,75,Mokolo
4,Extreme Nord,EXT,76,Mora
4,Extreme Nord,EXT,77,Moulvoudaye
4,Extreme Nord,EXT,78,Moutourwa
4,Extreme Nord,EXT,79,Pette
4,Extreme Nord,EXT,80,Roua
4,Extreme Nord,EXT,81,Tokombere
4,Extreme Nord,EXT,82,Vele
4,Extreme Nord,EXT,83,Yagoua
5,Littoral,LIT,84,Abo
5,Littoral,LIT,85,Bangue
5,Littoral,LIT,86,Boko
5,Littoral,LIT,87,Bonassama
5,Littoral,LIT,88,Cite des palmiers
5,Littoral,LIT,89,Deido
5,Littoral,LIT,90,Dibombari
5,Littoral,LIT,91,Edea
5,Littoral,LIT,92,Japoma
5,Littoral,LIT,93,Logbaba
5,Littoral,LIT,94,Loum
5,Littoral,LIT,95,Manjo
5,Littoral,LIT,96,Manoka
5,Littoral,LIT,97,Mbanga
5,Littoral,LIT,98,Melong
5,Littoral,LIT,99,Ndom
5,Littoral,LIT,100,New-bell
5,Littoral,LIT,101,Ngambe
5,Littoral,LIT,102,Njombe penja
5,Littoral,LIT,103,Nkondjock
5,Littoral,LIT,104,Nkongsamba
5,Littoral,LIT,105,Nylon
5,Littoral,LIT,106,Pouma
5,Littoral,LIT,107,Yabassi
6,Nord,NOR,108,Bibemi
6,Nord,NOR,109,Figuil
6,Nord,NOR,110,Garoua i
6,Nord,NOR,111,Garoua ii
6,Nord,NOR,112,Gaschiga
6,Nord,NOR,113,Golombe
6,Nord,NOR,114,Guider
